backbone.network.6.3.mlp.fc2.bias	(512,)
backbone.network.6.4.layer_scale_1	(512,)
backbone.network.6.4.layer_scale_2	(512,)
backbone.network.6.4.norm1.weight	(512,)
backbone.network.6.4.norm1.bias	(512,)
backbone.network.6.4.norm2.weight	(512,)
backbone.network.6.4.norm2.bias	(512,)
backbone.network.6.4.mlp.fc1.weight	(2048, 512, 1, 1)
backbone.network.6.4.mlp.fc1.bias	(2048,)
backbone.network.6.4.mlp.fc2.weight	(512, 2048, 1, 1)
backbone.network.6.4.mlp.fc2.bias	(512,)
backbone.network.6.5.layer_scale_1	(512,)
backbone.network.6.5.layer_scale_2	(512,)
backbone.network.6.5.norm1.weight	(512,)
backbone.network.6.5.norm1.bias	(512,)
backbone.network.6.5.norm2.weight	(512,)
backbone.network.6.5.norm2.bias	(512,)
backbone.network.6.5.mlp.fc1.weight	(2048, 512, 1, 1)
backbone.network.6.5.mlp.fc1.bias	(2048,)
backbone.network.6.5.mlp.fc2.weight	(512, 2048, 1, 1)
backbone.network.6.5.mlp.fc2.bias	(512,)
backbone.norm0.weight	(64,)
backbone.norm0.bias	(64,)
backbone.norm2.weight	(128,)
backbone.norm2.bias	(128,)
backbone.norm4.weight	(320,)
backbone.norm4.bias	(320,)
backbone.norm6.weight	(512,)
backbone.norm6.bias	(512,)
neck.lateral_convs.0.conv.weight	(256, 64, 1, 1)
neck.lateral_convs.0.conv.bias	(256,)
neck.lateral_convs.1.conv.weight	(256, 128, 1, 1)
neck.lateral_convs.1.conv.bias	(256,)
neck.lateral_convs.2.conv.weight	(256, 320, 1, 1)
neck.lateral_convs.2.conv.bias	(256,)
neck.lateral_convs.3.conv.weight	(256, 512, 1, 1)
neck.lateral_convs.3.conv.bias	(256,)
neck.fpn_convs.0.conv.weight	(256, 256, 3, 3)
neck.fpn_convs.0.conv.bias	(256,)
neck.fpn_convs.1.conv.weight	(256, 256, 3, 3)
neck.fpn_convs.1.conv.bias	(256,)
neck.fpn_convs.2.conv.weight	(256, 256, 3, 3)
neck.fpn_convs.2.conv.bias	(256,)
neck.fpn_convs.3.conv.weight	(256, 256, 3, 3)
neck.fpn_convs.3.conv.bias	(256,)
decode_head.conv_seg.weight	(2, 128, 1, 1)
decode_head.conv_seg.bias	(2,)
decode_head.scale_heads.0.0.conv.weight	(128, 256, 3, 3)
decode_head.scale_heads.0.0.bn.weight	(128,)
decode_head.scale_heads.0.0.bn.bias	(128,)
decode_head.scale_heads.0.0.bn.running_mean	(128,)
decode_head.scale_heads.0.0.bn.running_var	(128,)
decode_head.scale_heads.0.0.bn.num_batches_tracked	()
decode_head.scale_heads.1.0.conv.weight	(128, 256, 3, 3)
decode_head.scale_heads.1.0.bn.weight	(128,)
decode_head.scale_heads.1.0.bn.bias	(128,)
decode_head.scale_heads.1.0.bn.running_mean	(128,)
decode_head.scale_heads.1.0.bn.running_var	(128,)
decode_head.scale_heads.1.0.bn.num_batches_tracked	()
decode_head.scale_heads.2.0.conv.weight	(128, 256, 3, 3)
decode_head.scale_heads.2.0.bn.weight	(128,)
decode_head.scale_heads.2.0.bn.bias	(128,)
decode_head.scale_heads.2.0.bn.running_mean	(128,)
decode_head.scale_heads.2.0.bn.running_var	(128,)
decode_head.scale_heads.2.0.bn.num_batches_tracked	()
decode_head.scale_heads.2.2.conv.weight	(128, 128, 3, 3)
decode_head.scale_heads.2.2.bn.weight	(128,)
decode_head.scale_heads.2.2.bn.bias	(128,)
decode_head.scale_heads.2.2.bn.running_mean	(128,)
decode_head.scale_heads.2.2.bn.running_var	(128,)
decode_head.scale_heads.2.2.bn.num_batches_tracked	()
decode_head.scale_heads.3.0.conv.weight	(128, 256, 3, 3)
decode_head.scale_heads.3.0.bn.weight	(128,)
decode_head.scale_heads.3.0.bn.bias	(128,)
decode_head.scale_heads.3.0.bn.running_mean	(128,)
decode_head.scale_heads.3.0.bn.running_var	(128,)
decode_head.scale_heads.3.0.bn.num_batches_tracked	()
decode_head.scale_heads.3.2.conv.weight	(128, 128, 3, 3)
decode_head.scale_heads.3.2.bn.weight	(128,)
decode_head.scale_heads.3.2.bn.bias	(128,)
decode_head.scale_heads.3.2.bn.running_mean	(128,)
decode_head.scale_heads.3.2.bn.running_var	(128,)
decode_head.scale_heads.3.2.bn.num_batches_tracked	()
decode_head.scale_heads.3.4.conv.weight	(128, 128, 3, 3)
decode_head.scale_heads.3.4.bn.weight	(128,)
decode_head.scale_heads.3.4.bn.bias	(128,)
decode_head.scale_heads.3.4.bn.running_mean	(128,)
decode_head.scale_heads.3.4.bn.running_var	(128,)
decode_head.scale_heads.3.4.bn.num_batches_tracked	()
