backbone.network.2.3.token_mixer.mixer.rbr_skip.num_batches_tracked	()
backbone.network.2.3.token_mixer.mixer.rbr_conv.0.conv.weight	(152, 1, 3, 3)
backbone.network.2.3.token_mixer.mixer.rbr_conv.0.bn.weight	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_conv.0.bn.bias	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_conv.0.bn.running_mean	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_conv.0.bn.running_var	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.2.3.token_mixer.mixer.rbr_scale.conv.weight	(152, 1, 1, 1)
backbone.network.2.3.token_mixer.mixer.rbr_scale.bn.weight	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_scale.bn.bias	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_scale.bn.running_mean	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_scale.bn.running_var	(152,)
backbone.network.2.3.token_mixer.mixer.rbr_scale.bn.num_batches_tracked	()
backbone.network.2.3.convffn.conv.conv.weight	(152, 1, 7, 7)
backbone.network.2.3.convffn.conv.bn.weight	(152,)
backbone.network.2.3.convffn.conv.bn.bias	(152,)
backbone.network.2.3.convffn.conv.bn.running_mean	(152,)
backbone.network.2.3.convffn.conv.bn.running_var	(152,)
backbone.network.2.3.convffn.conv.bn.num_batches_tracked	()
backbone.network.2.3.convffn.fc1.weight	(608, 152, 1, 1)
backbone.network.2.3.convffn.fc1.bias	(608,)
backbone.network.2.3.convffn.fc2.weight	(152, 608, 1, 1)
