backbone.backbone.model.head.weight	(1000, 1024)
backbone.backbone.model.head.bias	(1000,)
decode_head.conv_seg.weight	(2, 512, 1, 1)
decode_head.conv_seg.bias	(2,)
decode_head.psp_modules.0.1.conv.weight	(512, 1024, 1, 1)
decode_head.psp_modules.0.1.bn.weight	(512,)
decode_head.psp_modules.0.1.bn.bias	(512,)
decode_head.psp_modules.0.1.bn.running_mean	(512,)
decode_head.psp_modules.0.1.bn.running_var	(512,)
decode_head.psp_modules.0.1.bn.num_batches_tracked	()
decode_head.psp_modules.1.1.conv.weight	(512, 1024, 1, 1)
decode_head.psp_modules.1.1.bn.weight	(512,)
decode_head.psp_modules.1.1.bn.bias	(512,)
decode_head.psp_modules.1.1.bn.running_mean	(512,)
decode_head.psp_modules.1.1.bn.running_var	(512,)
decode_head.psp_modules.1.1.bn.num_batches_tracked	()
decode_head.psp_modules.2.1.conv.weight	(512, 1024, 1, 1)
decode_head.psp_modules.2.1.bn.weight	(512,)
decode_head.psp_modules.2.1.bn.bias	(512,)
decode_head.psp_modules.2.1.bn.running_mean	(512,)
decode_head.psp_modules.2.1.bn.running_var	(512,)
decode_head.psp_modules.2.1.bn.num_batches_tracked	()
decode_head.psp_modules.3.1.conv.weight	(512, 1024, 1, 1)
decode_head.psp_modules.3.1.bn.weight	(512,)
decode_head.psp_modules.3.1.bn.bias	(512,)
decode_head.psp_modules.3.1.bn.running_mean	(512,)
decode_head.psp_modules.3.1.bn.running_var	(512,)
decode_head.psp_modules.3.1.bn.num_batches_tracked	()
decode_head.bottleneck.conv.weight	(512, 3072, 3, 3)
decode_head.bottleneck.bn.weight	(512,)
decode_head.bottleneck.bn.bias	(512,)
decode_head.bottleneck.bn.running_mean	(512,)
decode_head.bottleneck.bn.running_var	(512,)
decode_head.bottleneck.bn.num_batches_tracked	()
decode_head.lateral_convs.0.conv.weight	(512, 128, 1, 1)
decode_head.lateral_convs.0.bn.weight	(512,)
decode_head.lateral_convs.0.bn.bias	(512,)
decode_head.lateral_convs.0.bn.running_mean	(512,)
decode_head.lateral_convs.0.bn.running_var	(512,)
decode_head.lateral_convs.0.bn.num_batches_tracked	()
decode_head.lateral_convs.1.conv.weight	(512, 256, 1, 1)
decode_head.lateral_convs.1.bn.weight	(512,)
decode_head.lateral_convs.1.bn.bias	(512,)
decode_head.lateral_convs.1.bn.running_mean	(512,)
decode_head.lateral_convs.1.bn.running_var	(512,)
