backbone.layers.4.3.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.4.expand_conv.conv.weight	(576, 96, 1, 1)
backbone.layers.4.4.expand_conv.bn.weight	(576,)
backbone.layers.4.4.expand_conv.bn.bias	(576,)
backbone.layers.4.4.expand_conv.bn.running_mean	(576,)
backbone.layers.4.4.expand_conv.bn.running_var	(576,)
backbone.layers.4.4.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.4.depthwise_conv.conv.weight	(576, 1, 3, 3)
backbone.layers.4.4.depthwise_conv.bn.weight	(576,)
backbone.layers.4.4.depthwise_conv.bn.bias	(576,)
backbone.layers.4.4.depthwise_conv.bn.running_mean	(576,)
backbone.layers.4.4.depthwise_conv.bn.running_var	(576,)
backbone.layers.4.4.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.4.se.conv1.conv.weight	(24, 576, 1, 1)
backbone.layers.4.4.se.conv1.conv.bias	(24,)
backbone.layers.4.4.se.conv2.conv.weight	(576, 24, 1, 1)
backbone.layers.4.4.se.conv2.conv.bias	(576,)
backbone.layers.4.4.linear_conv.conv.weight	(96, 576, 1, 1)
backbone.layers.4.4.linear_conv.bn.weight	(96,)
backbone.layers.4.4.linear_conv.bn.bias	(96,)
backbone.layers.4.4.linear_conv.bn.running_mean	(96,)
backbone.layers.4.4.linear_conv.bn.running_var	(96,)
backbone.layers.4.4.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.5.expand_conv.conv.weight	(576, 96, 1, 1)
backbone.layers.4.5.expand_conv.bn.weight	(576,)
backbone.layers.4.5.expand_conv.bn.bias	(576,)
backbone.layers.4.5.expand_conv.bn.running_mean	(576,)
backbone.layers.4.5.expand_conv.bn.running_var	(576,)
backbone.layers.4.5.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.5.depthwise_conv.conv.weight	(576, 1, 5, 5)
backbone.layers.4.5.depthwise_conv.bn.weight	(576,)
backbone.layers.4.5.depthwise_conv.bn.bias	(576,)
backbone.layers.4.5.depthwise_conv.bn.running_mean	(576,)
backbone.layers.4.5.depthwise_conv.bn.running_var	(576,)
backbone.layers.4.5.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.5.se.conv1.conv.weight	(24, 576, 1, 1)
backbone.layers.4.5.se.conv1.conv.bias	(24,)
backbone.layers.4.5.se.conv2.conv.weight	(576, 24, 1, 1)
backbone.layers.4.5.se.conv2.conv.bias	(576,)
backbone.layers.4.5.linear_conv.conv.weight	(136, 576, 1, 1)
backbone.layers.4.5.linear_conv.bn.weight	(136,)
backbone.layers.4.5.linear_conv.bn.bias	(136,)
backbone.layers.4.5.linear_conv.bn.running_mean	(136,)
backbone.layers.4.5.linear_conv.bn.running_var	(136,)
backbone.layers.4.5.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.6.expand_conv.conv.weight	(816, 136, 1, 1)
backbone.layers.4.6.expand_conv.bn.weight	(816,)
backbone.layers.4.6.expand_conv.bn.bias	(816,)
