backbone.backbone.features_conv3_6.c3x3_b.conv.weight	(320, 8, 3, 3)
backbone.backbone.features_conv3_6.c1x1_c.bn.weight	(320,)
backbone.backbone.features_conv3_6.c1x1_c.bn.bias	(320,)
backbone.backbone.features_conv3_6.c1x1_c.bn.running_mean	(320,)
backbone.backbone.features_conv3_6.c1x1_c.bn.running_var	(320,)
backbone.backbone.features_conv3_6.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv3_6.c1x1_c.conv.weight	(544, 320, 1, 1)
backbone.backbone.features_conv4_1.c1x1_w_s2.bn.weight	(768,)
backbone.backbone.features_conv4_1.c1x1_w_s2.bn.bias	(768,)
backbone.backbone.features_conv4_1.c1x1_w_s2.bn.running_mean	(768,)
backbone.backbone.features_conv4_1.c1x1_w_s2.bn.running_var	(768,)
backbone.backbone.features_conv4_1.c1x1_w_s2.bn.num_batches_tracked	()
backbone.backbone.features_conv4_1.c1x1_w_s2.conv.weight	(1088, 768, 1, 1)
backbone.backbone.features_conv4_1.c1x1_a.bn.weight	(768,)
backbone.backbone.features_conv4_1.c1x1_a.bn.bias	(768,)
backbone.backbone.features_conv4_1.c1x1_a.bn.running_mean	(768,)
backbone.backbone.features_conv4_1.c1x1_a.bn.running_var	(768,)
backbone.backbone.features_conv4_1.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_1.c1x1_a.conv.weight	(640, 768, 1, 1)
backbone.backbone.features_conv4_1.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_1.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_1.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_1.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_1.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_1.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_1.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_1.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_1.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_1.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_1.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_1.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_2.c1x1_a.bn.weight	(1120,)
backbone.backbone.features_conv4_2.c1x1_a.bn.bias	(1120,)
backbone.backbone.features_conv4_2.c1x1_a.bn.running_mean	(1120,)
backbone.backbone.features_conv4_2.c1x1_a.bn.running_var	(1120,)
backbone.backbone.features_conv4_2.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_2.c1x1_a.conv.weight	(640, 1120, 1, 1)
backbone.backbone.features_conv4_2.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_2.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_2.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_2.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_2.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_2.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_2.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_2.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_2.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_2.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_2.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_2.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_3.c1x1_a.bn.weight	(1152,)
backbone.backbone.features_conv4_3.c1x1_a.bn.bias	(1152,)
backbone.backbone.features_conv4_3.c1x1_a.bn.running_mean	(1152,)
backbone.backbone.features_conv4_3.c1x1_a.bn.running_var	(1152,)
backbone.backbone.features_conv4_3.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_3.c1x1_a.conv.weight	(640, 1152, 1, 1)
backbone.backbone.features_conv4_3.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_3.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_3.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_3.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_3.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_3.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_3.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_3.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_3.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_3.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_3.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_3.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_4.c1x1_a.bn.weight	(1184,)
backbone.backbone.features_conv4_4.c1x1_a.bn.bias	(1184,)
backbone.backbone.features_conv4_4.c1x1_a.bn.running_mean	(1184,)
backbone.backbone.features_conv4_4.c1x1_a.bn.running_var	(1184,)
backbone.backbone.features_conv4_4.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_4.c1x1_a.conv.weight	(640, 1184, 1, 1)
backbone.backbone.features_conv4_4.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_4.c3x3_b.bn.bias	(640,)
