backbone.backbone.stages.2.24.norm.weight	(384,)
backbone.backbone.stages.2.24.norm.bias	(384,)
backbone.backbone.stages.2.24.fc1.weight	(2048, 384)
backbone.backbone.stages.2.24.fc1.bias	(2048,)
backbone.backbone.stages.2.24.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.24.conv.bias	(384,)
backbone.backbone.stages.2.24.fc2.weight	(384, 1024)
backbone.backbone.stages.2.24.fc2.bias	(384,)
backbone.backbone.stages.2.25.norm.weight	(384,)
backbone.backbone.stages.2.25.norm.bias	(384,)
backbone.backbone.stages.2.25.fc1.weight	(2048, 384)
backbone.backbone.stages.2.25.fc1.bias	(2048,)
backbone.backbone.stages.2.25.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.25.conv.bias	(384,)
backbone.backbone.stages.2.25.fc2.weight	(384, 1024)
backbone.backbone.stages.2.25.fc2.bias	(384,)
backbone.backbone.stages.2.26.norm.weight	(384,)
backbone.backbone.stages.2.26.norm.bias	(384,)
backbone.backbone.stages.2.26.fc1.weight	(2048, 384)
backbone.backbone.stages.2.26.fc1.bias	(2048,)
backbone.backbone.stages.2.26.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.26.conv.bias	(384,)
backbone.backbone.stages.2.26.fc2.weight	(384, 1024)
backbone.backbone.stages.2.26.fc2.bias	(384,)
backbone.backbone.stages.3.0.norm.weight	(576,)
backbone.backbone.stages.3.0.norm.bias	(576,)
backbone.backbone.stages.3.0.fc1.weight	(3072, 576)
backbone.backbone.stages.3.0.fc1.bias	(3072,)
backbone.backbone.stages.3.0.conv.weight	(576, 1, 7, 7)
backbone.backbone.stages.3.0.conv.bias	(576,)
backbone.backbone.stages.3.0.fc2.weight	(576, 1536)
backbone.backbone.stages.3.0.fc2.bias	(576,)
backbone.backbone.stages.3.1.norm.weight	(576,)
backbone.backbone.stages.3.1.norm.bias	(576,)
backbone.backbone.stages.3.1.fc1.weight	(3072, 576)
backbone.backbone.stages.3.1.fc1.bias	(3072,)
backbone.backbone.stages.3.1.conv.weight	(576, 1, 7, 7)
backbone.backbone.stages.3.1.conv.bias	(576,)
backbone.backbone.stages.3.1.fc2.weight	(576, 1536)
backbone.backbone.stages.3.1.fc2.bias	(576,)
backbone.backbone.stages.3.2.norm.weight	(576,)
backbone.backbone.stages.3.2.norm.bias	(576,)
backbone.backbone.stages.3.2.fc1.weight	(3072, 576)
backbone.backbone.stages.3.2.fc1.bias	(3072,)
backbone.backbone.stages.3.2.conv.weight	(576, 1, 7, 7)
backbone.backbone.stages.3.2.conv.bias	(576,)
backbone.backbone.stages.3.2.fc2.weight	(576, 1536)
backbone.backbone.stages.3.2.fc2.bias	(576,)
backbone.backbone.norm.weight	(576,)
backbone.backbone.norm.bias	(576,)
backbone.backbone.head.fc1.weight	(2304, 576)
backbone.backbone.head.fc1.bias	(2304,)
backbone.backbone.head.norm.weight	(2304,)
backbone.backbone.head.norm.bias	(2304,)
backbone.backbone.head.fc2.weight	(1000, 2304)
backbone.backbone.head.fc2.bias	(1000,)
decode_head.conv_seg.weight	(2, 512, 1, 1)
decode_head.conv_seg.bias	(2,)
decode_head.psp_modules.0.1.conv.weight	(512, 576, 1, 1)
decode_head.psp_modules.0.1.bn.weight	(512,)
decode_head.psp_modules.0.1.bn.bias	(512,)
decode_head.psp_modules.0.1.bn.running_mean	(512,)
decode_head.psp_modules.0.1.bn.running_var	(512,)
decode_head.psp_modules.0.1.bn.num_batches_tracked	()
decode_head.psp_modules.1.1.conv.weight	(512, 576, 1, 1)
decode_head.psp_modules.1.1.bn.weight	(512,)
decode_head.psp_modules.1.1.bn.bias	(512,)
decode_head.psp_modules.1.1.bn.running_mean	(512,)
decode_head.psp_modules.1.1.bn.running_var	(512,)
decode_head.psp_modules.1.1.bn.num_batches_tracked	()
decode_head.psp_modules.2.1.conv.weight	(512, 576, 1, 1)
decode_head.psp_modules.2.1.bn.weight	(512,)
decode_head.psp_modules.2.1.bn.bias	(512,)
decode_head.psp_modules.2.1.bn.running_mean	(512,)
decode_head.psp_modules.2.1.bn.running_var	(512,)
decode_head.psp_modules.2.1.bn.num_batches_tracked	()
decode_head.psp_modules.3.1.conv.weight	(512, 576, 1, 1)
decode_head.psp_modules.3.1.bn.weight	(512,)
decode_head.psp_modules.3.1.bn.bias	(512,)
decode_head.psp_modules.3.1.bn.running_mean	(512,)
decode_head.psp_modules.3.1.bn.running_var	(512,)
decode_head.psp_modules.3.1.bn.num_batches_tracked	()
decode_head.bottleneck.conv.weight	(512, 2624, 3, 3)
decode_head.bottleneck.bn.weight	(512,)
decode_head.bottleneck.bn.bias	(512,)
decode_head.bottleneck.bn.running_mean	(512,)
decode_head.bottleneck.bn.running_var	(512,)
decode_head.bottleneck.bn.num_batches_tracked	()
decode_head.lateral_convs.0.conv.weight	(512, 96, 1, 1)
decode_head.lateral_convs.0.bn.weight	(512,)
decode_head.lateral_convs.0.bn.bias	(512,)
decode_head.lateral_convs.0.bn.running_mean	(512,)
decode_head.lateral_convs.0.bn.running_var	(512,)
decode_head.lateral_convs.0.bn.num_batches_tracked	()
decode_head.lateral_convs.1.conv.weight	(512, 192, 1, 1)
decode_head.lateral_convs.1.bn.weight	(512,)
decode_head.lateral_convs.1.bn.bias	(512,)
decode_head.lateral_convs.1.bn.running_mean	(512,)
decode_head.lateral_convs.1.bn.running_var	(512,)
decode_head.lateral_convs.1.bn.num_batches_tracked	()
decode_head.lateral_convs.2.conv.weight	(512, 384, 1, 1)
decode_head.lateral_convs.2.bn.weight	(512,)
decode_head.lateral_convs.2.bn.bias	(512,)
decode_head.lateral_convs.2.bn.running_mean	(512,)
decode_head.lateral_convs.2.bn.running_var	(512,)
decode_head.lateral_convs.2.bn.num_batches_tracked	()
decode_head.fpn_convs.0.conv.weight	(512, 512, 3, 3)
decode_head.fpn_convs.0.bn.weight	(512,)
decode_head.fpn_convs.0.bn.bias	(512,)
decode_head.fpn_convs.0.bn.running_mean	(512,)
decode_head.fpn_convs.0.bn.running_var	(512,)
decode_head.fpn_convs.0.bn.num_batches_tracked	()
decode_head.fpn_convs.1.conv.weight	(512, 512, 3, 3)
decode_head.fpn_convs.1.bn.weight	(512,)
decode_head.fpn_convs.1.bn.bias	(512,)
decode_head.fpn_convs.1.bn.running_mean	(512,)
decode_head.fpn_convs.1.bn.running_var	(512,)
decode_head.fpn_convs.1.bn.num_batches_tracked	()
decode_head.fpn_convs.2.conv.weight	(512, 512, 3, 3)
decode_head.fpn_convs.2.bn.weight	(512,)
decode_head.fpn_convs.2.bn.bias	(512,)
decode_head.fpn_convs.2.bn.running_mean	(512,)
decode_head.fpn_convs.2.bn.running_var	(512,)
decode_head.fpn_convs.2.bn.num_batches_tracked	()
decode_head.fpn_bottleneck.conv.weight	(512, 2048, 3, 3)
decode_head.fpn_bottleneck.bn.weight	(512,)
decode_head.fpn_bottleneck.bn.bias	(512,)
decode_head.fpn_bottleneck.bn.running_mean	(512,)
decode_head.fpn_bottleneck.bn.running_var	(512,)
decode_head.fpn_bottleneck.bn.num_batches_tracked	()
auxiliary_head.conv_seg.weight	(2, 256, 1, 1)
auxiliary_head.conv_seg.bias	(2,)
auxiliary_head.convs.0.conv.weight	(256, 384, 3, 3)
auxiliary_head.convs.0.bn.weight	(256,)
auxiliary_head.convs.0.bn.bias	(256,)
auxiliary_head.convs.0.bn.running_mean	(256,)
auxiliary_head.convs.0.bn.running_var	(256,)
auxiliary_head.convs.0.bn.num_batches_tracked	()
