backbone.stages.3.1.depthwise_conv.bias	(768,)
backbone.stages.3.1.norm.weight	(768,)
backbone.stages.3.1.norm.bias	(768,)
backbone.stages.3.1.pointwise_conv1.weight	(3072, 768)
backbone.stages.3.1.pointwise_conv1.bias	(3072,)
backbone.stages.3.1.pointwise_conv2.weight	(768, 3072)
backbone.stages.3.1.pointwise_conv2.bias	(768,)
backbone.stages.3.2.gamma	(768,)
backbone.stages.3.2.depthwise_conv.weight	(768, 1, 7, 7)
backbone.stages.3.2.depthwise_conv.bias	(768,)
backbone.stages.3.2.norm.weight	(768,)
backbone.stages.3.2.norm.bias	(768,)
backbone.stages.3.2.pointwise_conv1.weight	(3072, 768)
backbone.stages.3.2.pointwise_conv1.bias	(3072,)
backbone.stages.3.2.pointwise_conv2.weight	(768, 3072)
backbone.stages.3.2.pointwise_conv2.bias	(768,)
backbone.norm0.weight	(96,)
backbone.norm0.bias	(96,)
backbone.norm1.weight	(192,)
backbone.norm1.bias	(192,)
backbone.norm2.weight	(384,)
backbone.norm2.bias	(384,)
backbone.norm3.weight	(768,)
backbone.norm3.bias	(768,)
decode_head.conv_seg.weight	(2, 512, 1, 1)
decode_head.conv_seg.bias	(2,)
decode_head.psp_modules.0.1.conv.weight	(512, 768, 1, 1)
decode_head.psp_modules.0.1.bn.weight	(512,)
decode_head.psp_modules.0.1.bn.bias	(512,)
decode_head.psp_modules.0.1.bn.running_mean	(512,)
decode_head.psp_modules.0.1.bn.running_var	(512,)
decode_head.psp_modules.0.1.bn.num_batches_tracked	()
decode_head.psp_modules.1.1.conv.weight	(512, 768, 1, 1)
decode_head.psp_modules.1.1.bn.weight	(512,)
decode_head.psp_modules.1.1.bn.bias	(512,)
decode_head.psp_modules.1.1.bn.running_mean	(512,)
decode_head.psp_modules.1.1.bn.running_var	(512,)
decode_head.psp_modules.1.1.bn.num_batches_tracked	()
decode_head.psp_modules.2.1.conv.weight	(512, 768, 1, 1)
decode_head.psp_modules.2.1.bn.weight	(512,)
decode_head.psp_modules.2.1.bn.bias	(512,)
decode_head.psp_modules.2.1.bn.running_mean	(512,)
decode_head.psp_modules.2.1.bn.running_var	(512,)
decode_head.psp_modules.2.1.bn.num_batches_tracked	()
decode_head.psp_modules.3.1.conv.weight	(512, 768, 1, 1)
decode_head.psp_modules.3.1.bn.weight	(512,)
decode_head.psp_modules.3.1.bn.bias	(512,)
decode_head.psp_modules.3.1.bn.running_mean	(512,)
decode_head.psp_modules.3.1.bn.running_var	(512,)
decode_head.psp_modules.3.1.bn.num_batches_tracked	()
decode_head.bottleneck.conv.weight	(512, 2816, 3, 3)
decode_head.bottleneck.bn.weight	(512,)
decode_head.bottleneck.bn.bias	(512,)
decode_head.bottleneck.bn.running_mean	(512,)
decode_head.bottleneck.bn.running_var	(512,)
decode_head.bottleneck.bn.num_batches_tracked	()
decode_head.lateral_convs.0.conv.weight	(512, 96, 1, 1)
decode_head.lateral_convs.0.bn.weight	(512,)
decode_head.lateral_convs.0.bn.bias	(512,)
decode_head.lateral_convs.0.bn.running_mean	(512,)
decode_head.lateral_convs.0.bn.running_var	(512,)
decode_head.lateral_convs.0.bn.num_batches_tracked	()
decode_head.lateral_convs.1.conv.weight	(512, 192, 1, 1)
decode_head.lateral_convs.1.bn.weight	(512,)
decode_head.lateral_convs.1.bn.bias	(512,)
decode_head.lateral_convs.1.bn.running_mean	(512,)
decode_head.lateral_convs.1.bn.running_var	(512,)
decode_head.lateral_convs.1.bn.num_batches_tracked	()
decode_head.lateral_convs.2.conv.weight	(512, 384, 1, 1)
decode_head.lateral_convs.2.bn.weight	(512,)
decode_head.lateral_convs.2.bn.bias	(512,)
decode_head.lateral_convs.2.bn.running_mean	(512,)
decode_head.lateral_convs.2.bn.running_var	(512,)
decode_head.lateral_convs.2.bn.num_batches_tracked	()
decode_head.fpn_convs.0.conv.weight	(512, 512, 3, 3)
decode_head.fpn_convs.0.bn.weight	(512,)
decode_head.fpn_convs.0.bn.bias	(512,)
decode_head.fpn_convs.0.bn.running_mean	(512,)
decode_head.fpn_convs.0.bn.running_var	(512,)
decode_head.fpn_convs.0.bn.num_batches_tracked	()
decode_head.fpn_convs.1.conv.weight	(512, 512, 3, 3)
decode_head.fpn_convs.1.bn.weight	(512,)
decode_head.fpn_convs.1.bn.bias	(512,)
decode_head.fpn_convs.1.bn.running_mean	(512,)
decode_head.fpn_convs.1.bn.running_var	(512,)
decode_head.fpn_convs.1.bn.num_batches_tracked	()
decode_head.fpn_convs.2.conv.weight	(512, 512, 3, 3)
decode_head.fpn_convs.2.bn.weight	(512,)
decode_head.fpn_convs.2.bn.bias	(512,)
decode_head.fpn_convs.2.bn.running_mean	(512,)
decode_head.fpn_convs.2.bn.running_var	(512,)
decode_head.fpn_convs.2.bn.num_batches_tracked	()
decode_head.fpn_bottleneck.conv.weight	(512, 2048, 3, 3)
decode_head.fpn_bottleneck.bn.weight	(512,)
decode_head.fpn_bottleneck.bn.bias	(512,)
decode_head.fpn_bottleneck.bn.running_mean	(512,)
decode_head.fpn_bottleneck.bn.running_var	(512,)
decode_head.fpn_bottleneck.bn.num_batches_tracked	()
auxiliary_head.conv_seg.weight	(2, 256, 1, 1)
auxiliary_head.conv_seg.bias	(2,)
auxiliary_head.convs.0.conv.weight	(256, 384, 3, 3)
auxiliary_head.convs.0.bn.weight	(256,)
auxiliary_head.convs.0.bn.bias	(256,)
auxiliary_head.convs.0.bn.running_mean	(256,)
auxiliary_head.convs.0.bn.running_var	(256,)
auxiliary_head.convs.0.bn.num_batches_tracked	()
