backbone.layer4.0.conv1.weight	(512, 1024, 1, 1)
backbone.layer4.0.bn1.weight	(512,)
backbone.layer4.0.bn1.bias	(512,)
backbone.layer4.0.bn1.running_mean	(512,)
backbone.layer4.0.bn1.running_var	(512,)
backbone.layer4.0.bn1.num_batches_tracked	()
backbone.layer4.0.conv2.weight	(512, 512, 3, 3)
backbone.layer4.0.bn2.weight	(512,)
backbone.layer4.0.bn2.bias	(512,)
backbone.layer4.0.bn2.running_mean	(512,)
backbone.layer4.0.bn2.running_var	(512,)
backbone.layer4.0.bn2.num_batches_tracked	()
backbone.layer4.0.conv3.weight	(2048, 512, 1, 1)
backbone.layer4.0.bn3.weight	(2048,)
backbone.layer4.0.bn3.bias	(2048,)
backbone.layer4.0.bn3.running_mean	(2048,)
backbone.layer4.0.bn3.running_var	(2048,)
backbone.layer4.0.bn3.num_batches_tracked	()
backbone.layer4.0.downsample.0.weight	(2048, 1024, 1, 1)
backbone.layer4.0.downsample.1.weight	(2048,)
backbone.layer4.0.downsample.1.bias	(2048,)
backbone.layer4.0.downsample.1.running_mean	(2048,)
backbone.layer4.0.downsample.1.running_var	(2048,)
backbone.layer4.0.downsample.1.num_batches_tracked	()
backbone.layer4.1.conv1.weight	(512, 2048, 1, 1)
backbone.layer4.1.bn1.weight	(512,)
backbone.layer4.1.bn1.bias	(512,)
backbone.layer4.1.bn1.running_mean	(512,)
backbone.layer4.1.bn1.running_var	(512,)
backbone.layer4.1.bn1.num_batches_tracked	()
backbone.layer4.1.conv2.weight	(512, 512, 3, 3)
backbone.layer4.1.bn2.weight	(512,)
backbone.layer4.1.bn2.bias	(512,)
backbone.layer4.1.bn2.running_mean	(512,)
backbone.layer4.1.bn2.running_var	(512,)
backbone.layer4.1.bn2.num_batches_tracked	()
backbone.layer4.1.conv3.weight	(2048, 512, 1, 1)
backbone.layer4.1.bn3.weight	(2048,)
backbone.layer4.1.bn3.bias	(2048,)
backbone.layer4.1.bn3.running_mean	(2048,)
backbone.layer4.1.bn3.running_var	(2048,)
backbone.layer4.1.bn3.num_batches_tracked	()
backbone.layer4.2.conv1.weight	(512, 2048, 1, 1)
backbone.layer4.2.bn1.weight	(512,)
backbone.layer4.2.bn1.bias	(512,)
backbone.layer4.2.bn1.running_mean	(512,)
backbone.layer4.2.bn1.running_var	(512,)
backbone.layer4.2.bn1.num_batches_tracked	()
backbone.layer4.2.conv2.weight	(512, 512, 3, 3)
backbone.layer4.2.bn2.weight	(512,)
backbone.layer4.2.bn2.bias	(512,)
backbone.layer4.2.bn2.running_mean	(512,)
backbone.layer4.2.bn2.running_var	(512,)
backbone.layer4.2.bn2.num_batches_tracked	()
backbone.layer4.2.conv3.weight	(2048, 512, 1, 1)
backbone.layer4.2.bn3.weight	(2048,)
backbone.layer4.2.bn3.bias	(2048,)
backbone.layer4.2.bn3.running_mean	(2048,)
backbone.layer4.2.bn3.running_var	(2048,)
backbone.layer4.2.bn3.num_batches_tracked	()
decode_head.pixel_decoder.input_convs.0.conv.weight	(256, 2048, 1, 1)
decode_head.pixel_decoder.input_convs.0.conv.bias	(256,)
decode_head.pixel_decoder.input_convs.0.gn.weight	(256,)
decode_head.pixel_decoder.input_convs.0.gn.bias	(256,)
decode_head.pixel_decoder.input_convs.1.conv.weight	(256, 1024, 1, 1)
decode_head.pixel_decoder.input_convs.1.conv.bias	(256,)
decode_head.pixel_decoder.input_convs.1.gn.weight	(256,)
decode_head.pixel_decoder.input_convs.1.gn.bias	(256,)
decode_head.pixel_decoder.input_convs.2.conv.weight	(256, 512, 1, 1)
decode_head.pixel_decoder.input_convs.2.conv.bias	(256,)
decode_head.pixel_decoder.input_convs.2.gn.weight	(256,)
decode_head.pixel_decoder.input_convs.2.gn.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.1.bias	(256,)
