backbone.backbone.stages_1.blocks.3.mlp.fc1.bias	(512,)
backbone.backbone.stages_1.blocks.3.mlp.fc2.weight	(256, 512, 1, 1)
backbone.backbone.stages_1.blocks.3.mlp.fc2.bias	(256,)
backbone.backbone.stages_2.blocks.0.patch_embed.conv.weight	(384, 256, 1, 1)
backbone.backbone.stages_2.blocks.0.patch_embed.norm.weight	(384,)
backbone.backbone.stages_2.blocks.0.patch_embed.norm.bias	(384,)
backbone.backbone.stages_2.blocks.0.patch_embed.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.0.patch_embed.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.0.patch_embed.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.0.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.0.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.0.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.0.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.0.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.0.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.0.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.0.norm.weight	(384,)
backbone.backbone.stages_2.blocks.0.norm.bias	(384,)
backbone.backbone.stages_2.blocks.0.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.0.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.0.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.0.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.0.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.0.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.0.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.1.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.1.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.1.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.1.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.1.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.1.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.1.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.1.norm.weight	(384,)
backbone.backbone.stages_2.blocks.1.norm.bias	(384,)
backbone.backbone.stages_2.blocks.1.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.1.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.1.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.1.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.1.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.1.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.1.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.2.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.2.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.2.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.2.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.2.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.2.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.2.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.2.norm.weight	(384,)
backbone.backbone.stages_2.blocks.2.norm.bias	(384,)
backbone.backbone.stages_2.blocks.2.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.2.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.2.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.2.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.2.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.2.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.2.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.3.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.3.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.3.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.3.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.3.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.3.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.3.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.3.norm.weight	(384,)
backbone.backbone.stages_2.blocks.3.norm.bias	(384,)
backbone.backbone.stages_2.blocks.3.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.3.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.3.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.3.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.3.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.3.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.3.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.4.norm1.weight	(384,)
backbone.backbone.stages_2.blocks.4.norm1.bias	(384,)
backbone.backbone.stages_2.blocks.4.norm1.running_mean	(384,)
backbone.backbone.stages_2.blocks.4.norm1.running_var	(384,)
backbone.backbone.stages_2.blocks.4.norm1.num_batches_tracked	()
backbone.backbone.stages_2.blocks.4.e_mhsa.q.weight	(384, 384)
backbone.backbone.stages_2.blocks.4.e_mhsa.q.bias	(384,)
